stock,industry,name,ratio
1101,水泥工業,10,10
2412,通信網路業,10,10
2801,金融保險業,10,10
2880,金融保險業,10,10
2881,金融保險業,10,10
2882,金融保險業,10,10
2884,金融保險業,10,10
2885,金融保險業,10,10
2886,金融保險業,10,10
2887,金融保險業,10,10
2891,金融保險業,10,10
2892,金融保險業,10,10
2912,貿易百貨,10,10
3008,光電業,10,10
3045,通信網路業,10,10
3711,半導體業,10,10
4904,通信網路業,10,10
5871,其他,10,10
5876,金融保險業,10,10
5880,金融保險業,10,10
6505,油電燃氣業,10,10
2454,半導體業,10,10
9910,其他,10,10
2303,半導體業,10,10
2382,電腦及週邊設備業,10,10
2207,汽車工業,10,10
2408,半導體業,10,10
2308,電子零組件業,10,10
2317,其他電子業,10,10
2327,電子零組件業,10,10
2330,半導體業,10,10
1326,塑膠工業,10,10
2357,電腦及週邊設備業,10,10
2395,電腦及週邊設備業,10,10
1303,塑膠工業,10,10
1301,塑膠工業,10,10
1216,食品工業,10,10
2002,鋼鐵工業,10,10
4938,電腦及週邊設備業,9,9
2379,半導體業,8,8
6415,半導體業,8,8
3034,半導體業,7,7
1402,紡織纖維,7,7
1102,水泥工業,6,6
1590,電機機械,6,6
8046,電子零組件業,6,6
2409,光電業,5,5
2105,橡膠工業,5,5
2883,金融保險業,5,5
2633,航運業,5,5
2615,航運業,5,5
2609,航運業,5,5
2603,航運業,5,5
2474,其他電子業,5,5
2890,金融保險業,4,4
6669,電腦及週邊設備業,4,4
8454,貿易百貨,4,4
3037,電子零組件業,3,3
2301,電腦及週邊設備業,3,3
2888,金融保險業,2,2
2823,金融保險業,2,2
9904,其他,1,1
